,index_code,con_code,trade_date,weight
0,000905.SH,603786.SH,20220429,0.034
1,000905.SH,002013.SZ,20220429,0.359
2,000905.SH,002002.SZ,20220429,0.162
3,000905.SH,002701.SZ,20220429,0.163
4,000905.SH,300072.SZ,20220429,0.11
5,000905.SH,601228.SH,20220429,0.073
6,000905.SH,600663.SH,20220429,0.173
7,000905.SH,600522.SH,20220429,0.809
8,000905.SH,600409.SH,20220429,0.151
9,000905.SH,601000.SH,20220429,0.152
10,000905.SH,688289.SH,20220429,0.093
11,000905.SH,600705.SH,20220429,0.383
12,000905.SH,600556.SH,20220429,0.073
13,000905.SH,002233.SZ,20220429,0.136
14,000905.SH,688002.SH,20220429,0.178
15,000905.SH,300244.SZ,20220429,0.264
16,000905.SH,002603.SZ,20220429,0.387
17,000905.SH,002028.SZ,20220429,0.342
18,000905.SH,600801.SH,20220429,0.276
19,000905.SH,600157.SH,20220429,0.641
20,000905.SH,600446.SH,20220429,0.115
21,000905.SH,688005.SH,20220429,0.467
22,000905.SH,002212.SZ,20220429,0.204
23,000905.SH,002223.SZ,20220429,0.267
24,000905.SH,600095.SH,20220429,0.072
25,000905.SH,002563.SZ,20220429,0.098
26,000905.SH,002372.SZ,20220429,0.225
27,000905.SH,000930.SZ,20220429,0.171
28,000905.SH,601717.SH,20220429,0.199
29,000905.SH,300115.SZ,20220429,0.121
30,000905.SH,002244.SZ,20220429,0.191
31,000905.SH,601689.SH,20220429,0.431
32,000905.SH,600580.SH,20220429,0.187
33,000905.SH,300168.SZ,20220429,0.181
34,000905.SH,002532.SZ,20220429,0.178
35,000905.SH,000733.SZ,20220429,0.709
36,000905.SH,000400.SZ,20220429,0.177
37,000905.SH,300136.SZ,20220429,0.264
38,000905.SH,000559.SZ,20220429,0.127
39,000905.SH,600928.SH,20220429,0.092
40,000905.SH,002075.SZ,20220429,0.155
41,000905.SH,603515.SH,20220429,0.045
42,000905.SH,000898.SZ,20220429,0.155
43,000905.SH,000401.SZ,20220429,0.213
44,000905.SH,600820.SH,20220429,0.206
45,000905.SH,002409.SZ,20220429,0.239
46,000905.SH,600022.SH,20220429,0.165
47,000905.SH,300166.SZ,20220429,0.125
48,000905.SH,688521.SH,20220429,0.183
49,000905.SH,002078.SZ,20220429,0.37
50,000905.SH,600466.SH,20220429,0.049
51,000905.SH,603267.SH,20220429,0.306
52,000905.SH,002936.SZ,20220429,0.254
53,000905.SH,600155.SH,20220429,0.177
54,000905.SH,002939.SZ,20220429,0.143
55,000905.SH,002294.SZ,20220429,0.191
56,000905.SH,603218.SH,20220429,0.147
57,000905.SH,000717.SZ,20220429,0.083
58,000905.SH,001203.SZ,20220429,0.047
59,000905.SH,603893.SH,20220429,0.213
60,000905.SH,300088.SZ,20220429,0.28
61,000905.SH,600839.SH,20220429,0.182
62,000905.SH,601636.SH,20220429,0.333
63,000905.SH,002416.SZ,20220429,0.1
64,000905.SH,600141.SH,20220429,0.465
65,000905.SH,600126.SH,20220429,0.122
66,000905.SH,600315.SH,20220429,0.197
67,000905.SH,601156.SH,20220429,0.069
68,000905.SH,002124.SZ,20220429,0.181
69,000905.SH,000158.SZ,20220429,0.109
70,000905.SH,000878.SZ,20220429,0.199
71,000905.SH,601577.SH,20220429,0.167
72,000905.SH,002382.SZ,20220429,0.117
73,000905.SH,600271.SH,20220429,0.211
